"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8959","TC-001: SauceDemo login works","firefox","2026-04-23","passed","2026-04-23","","login.spec.ts","",""
"","7806","TC-001: SauceDemo login works","chromium","2026-04-23","passed","2026-04-23","","login.spec.ts","",""
"","30706","has title","firefox","2026-04-23","broken","2026-04-23","","locators.spec.ts","",""
"","30983","has title","webkit","2026-04-23","broken","2026-04-23","","locators.spec.ts","",""
"","30960","has title","chromium","2026-04-23","broken","2026-04-23","","locators.spec.ts","",""
"","5035","TC-001: SauceDemo login works","webkit","2026-04-23","passed","2026-04-23","","login.spec.ts","",""
